B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Ni,Zn,Sr,Zr,Sn,Sb,Ce,Température,ph,Ln(V0)
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,70,10.43,-0.2863496272
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,70,11.08,0.8960880246
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,90,7.72,-1.002393431
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,90,8.52,-0.04919024419
8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.65,0,0.47,0,0,0.12,90,10.06,0.8458682676
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,22.7,9.0,-6.424212469
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,22.7,10.0,-6.12487709
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,22.7,11.0,-4.2597821
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,22.7,12.0,-2.763102182
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,40.9,8.7,-5.157792237
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,40.9,9.6,-4.121627376
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,40.2,10.9,-2.325610965
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,39.9,11.7,-1.059189144
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,71.0,8.1,-2.233507545
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,71.0,8.9,-1.680887138
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,70.1,10.4,-0.1611809544
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,70.1,11.1,0.552620423
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,90.6,7.7,-1.174318408
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,90.6,8.5,-0.4144653137
5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0.19,0,0,0,90.5,10.1,1.243395949
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,23.0,8.0,-6.792624647
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,23.0,9.0,-6.516314723
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,23.0,10.0,-4.950557645
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,23.0,11.0,-4.582144328
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,23.0,12.0,-3.545980871
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,40.0,7.9,-4.835428991
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,40.0,8.7,-4.490041336
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,40.0,9.6,-3.361774381
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,40.0,10.9,-3.039412307
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,40.0,11.7,-2.095352411
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,70.0,8.1,-3.983472284
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,70.0,8.9,-2.34863678
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,70.0,10.4,-1.703912946
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,70.0,11.1,-0.7828789308
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,90.0,7.7,-1.151292534
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,90.0,8.5,-0.1381551055
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,90.0,10.1,0.09210339812
5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.76,0,0.5,0.27,0,0,90.0,10.7,1.01313744
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,23.0,8.3,-7.138427097
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,23.0,9.0,-6.424095323
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,23.0,10.0,-5.38802328
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,23.0,11.0,-5.22692737
