Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Ce,Pr,Nd,S_autres_TR,Th,U,Pu,Np,Am,Cm,S_autres_An,Température,Ph_Final,V0_B_ou_r0_B
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,70.0,8.1,-1.73
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,70.0,8.9,-1.02
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,70.0,10.4,-0.74
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,70.0,11.1,-0.34
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,90.0,7.7,-0.5
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,90.0,8.5,-0.06
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,90.0,10.1,0.04
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0,0.26,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,90.0,10.7,0.44
0,4.5,55.74,17.31,0.59,4.21,14.24,0,0.06,0.42,0,0,0,0.02,0.3,0,0,0,0.96,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,23.0,8.3,0.00079
0,4.5,55.74,17.31,0.59,4.21,14.24,0,0.06,0.42,0,0,0,0.02,0.3,0,0,0,0.96,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,23.0,9.0,0.00162
